sigma,run,correlation,gini,top10_overlap
1.25,49,0.33833061552158583,0.6269833876155365,0.475
1.5,0,0.43763830885502053,0.5628027411392581,0.5
1.5,1,0.4038064200527427,0.5627982083863503,0.455
1.5,2,0.3304561559736202,0.5907968914227748,0.46
1.5,3,0.3523498724441702,0.5790096518504331,0.485
1.5,4,0.36148143411166034,0.5966085248019725,0.445
1.5,5,0.4206073220847739,0.5764020234106013,0.455
1.5,6,0.4378105966620377,0.5437320786025073,0.42
1.5,7,0.37823422954956015,0.5656630716051584,0.41
1.5,8,0.32356676374845333,0.5893474986594401,0.435
1.5,9,0.36608923469777777,0.5854567137530058,0.4
1.5,10,0.4154664314003917,0.5582007947219656,0.465
1.5,11,0.35528289568709426,0.5940395600925922,0.445
1.5,12,0.38540574567220176,0.5542735229224247,0.43
1.5,13,0.3505740057728068,0.5669958247132756,0.475
1.5,14,0.38972680109844804,0.574390048544232,0.435
1.5,15,0.39545199748356885,0.5643806072872507,0.44
1.5,16,0.41469772458424253,0.5738115507113467,0.455
1.5,17,0.3592576569803247,0.5728153317983699,0.495
1.5,18,0.3471583342087082,0.5834973871474464,0.455
1.5,19,0.3840307728436183,0.5698223644438868,0.47
1.5,20,0.4235327889847926,0.5720482074635572,0.47
1.5,21,0.3807356172691014,0.568396482667487,0.43
1.5,22,0.39739706443484435,0.562308030985895,0.46
1.5,23,0.47559883624653115,0.5659688216150746,0.45
1.5,24,0.38032408224912356,0.5789129475315145,0.465
1.5,25,0.3684254839622754,0.5680948548690115,0.43
1.5,26,0.4530764657375639,0.5669986628457006,0.44
1.5,27,0.42317640468565737,0.562211020598664,0.47
1.5,28,0.3275183860917003,0.5676642266680725,0.465
1.5,29,0.334836159017885,0.5813997385780333,0.425
1.5,30,0.39072689489302553,0.5891078368371474,0.475
1.5,31,0.364944375212164,0.5844759154680425,0.38
1.5,32,0.317413185131942,0.5612293538450488,0.455
1.5,33,0.2230408884893733,0.600563546794938,0.465
1.5,34,0.2833457579540438,0.5943925115241128,0.515
1.5,35,0.4262367542230398,0.5694722101996939,0.46
1.5,36,0.44436374512928717,0.5735005612313117,0.465
1.5,37,0.4047693221443299,0.5528051314559493,0.485
1.5,38,0.41287305395000845,0.5631842677540002,0.415
1.5,39,0.24863529439462642,0.6068241001132457,0.42
1.5,40,0.413293521422921,0.5780166865894312,0.445
1.5,41,0.40631977604076586,0.5768189943499159,0.45
1.5,42,0.40322560198780844,0.5684177924252573,0.41
1.5,43,0.39849569125662904,0.5755886254906607,0.475
1.5,44,0.4163439060700318,0.5607839423248975,0.455
1.5,45,0.4754132724196162,0.5527480417039788,0.39
1.5,46,0.39268748823509414,0.5738425964943558,0.44
1.5,47,0.37635400833550176,0.5703358891224286,0.395
1.5,48,0.3667397665424661,0.575321954940727,0.42
1.5,49,0.3518795667497461,0.5561548431152469,0.36
1.75,0,0.36458814564033676,0.551043268494536,0.41
1.75,1,0.3946075182451564,0.5367132955826093,0.395
1.75,2,0.36375644461947254,0.5366986284539126,0.4
1.75,3,0.3457872784183951,0.5497777200254235,0.4
1.75,4,0.334141142978691,0.5585331239639993,0.405
1.75,5,0.36323150133211574,0.5366127454146835,0.39
1.75,6,0.3665539233560387,0.5507957200581773,0.365
1.75,7,0.320750442461977,0.564749523905479,0.42
1.75,8,0.3507748298335023,0.546469194335003,0.385
1.75,9,0.3386426148510633,0.5468370064584662,0.43
1.75,10,0.33570073865861366,0.549210479284869,0.37
1.75,11,0.3765088258379102,0.5455703132133287,0.375
1.75,12,0.35461892964273867,0.5472836487870744,0.415
1.75,13,0.3343972981408581,0.5483190665215787,0.38
1.75,14,0.3309438583479432,0.5694986751724749,0.41
1.75,15,0.32010975308404804,0.5448093065174473,0.415
1.75,16,0.38060598847406196,0.5428302062706652,0.385
1.75,17,0.37041754352501516,0.5443694212667172,0.44
1.75,18,0.370653778843075,0.5437651389189618,0.39
1.75,19,0.3522277940222196,0.5336556406155976,0.385
1.75,20,0.3764787714730393,0.5378189709606331,0.43
1.75,21,0.3814460950792148,0.5487414429243069,0.47
1.75,22,0.35864267845801917,0.528995614745987,0.395
1.75,23,0.3615510490486947,0.5392056287605205,0.355
1.75,24,0.35981482901108697,0.5448248090411042,0.36
1.75,25,0.38974319445277966,0.5400879189014333,0.4
1.75,26,0.33280191411638904,0.5444143658034679,0.44
1.75,27,0.37392102825290496,0.5422730201680297,0.41
1.75,28,0.3429736617475077,0.5611758452077444,0.415
1.75,29,0.35983905586867854,0.5453820316647211,0.425
1.75,30,0.30495986707434736,0.5592411255208543,0.425
1.75,31,0.3764543352877687,0.5468505241899857,0.44
1.75,32,0.35761327730167364,0.5419204728081919,0.385
1.75,33,0.36434912717779605,0.5528147412040714,0.43
1.75,34,0.3784525212666493,0.5460690739450091,0.405
1.75,35,0.34783375961594776,0.5445525119788525,0.4
1.75,36,0.35419521064389003,0.5393744363738283,0.43
